# Engine name: Sugar Rocket
# Tue Mar 14 00:46:59 2023
#
#************************************************************************************************************************************************************************************
# Results of nested analysis
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
# Ratio, O/F     pc, MPa  Nozzle inl  Nozzle exi  rho, kg/m^       Tc, K           M       gamma           k     c*, m/s   Is opt, s   Is vac, s      Cf opt      Cf vac    c.factor 
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     1.9140      0.3413      0.0000      4.0000      0.0000   1509.7823     39.4368      1.1529      1.1128    853.6191    111.7932    131.0276      1.4237      1.6346      0.8790 
     1.9140      0.3431      0.0000      4.0000      0.0000   1510.0415     39.4400      1.1529      1.1128    853.6963    111.8069    131.0404      1.4237      1.6346      0.8790 
     1.9140      0.3449      0.0000      4.0000      0.0000   1510.2991     39.4432      1.1528      1.1128    853.7730    111.8204    131.0532      1.4237      1.6346      0.8791 
     1.9140      0.3467      0.0000      4.0000      0.0000   1510.5552     39.4463      1.1527      1.1128    853.8493    111.8339    131.0659      1.4237      1.6346      0.8791 
     1.9140      0.3485      0.0000      4.0000      0.0000   1510.8097     39.4495      1.1527      1.1129    853.9252    111.8473    131.0786      1.4237      1.6346      0.8792 
     1.9140      0.3503      0.0000      4.0000      0.0000   1511.0626     39.4526      1.1526      1.1129    854.0006    111.8606    131.0911      1.4237      1.6346      0.8793 
     1.9140      0.3521      0.0000      4.0000      0.0000   1511.3141     39.4557      1.1526      1.1129    854.0755    111.8738    131.1036      1.4237      1.6346      0.8793 
     1.9140      0.3539      0.0000      4.0000      0.0000   1511.5641     39.4588      1.1525      1.1129    854.1501    111.8869    131.1160      1.4237      1.6345      0.8794 
     1.9140      0.3557      0.0000      4.0000      0.0000   1511.8125     39.4618      1.1524      1.1130    854.2242    111.9000    131.1283      1.4237      1.6345      0.8794 
     1.9140      0.3575      0.0000      4.0000      0.0000   1512.0596     39.4649      1.1524      1.1130    854.2979    111.9129    131.1405      1.4237      1.6345      0.8795 
     1.9140      0.3593      0.0000      4.0000      0.0000   1512.3051     39.4679      1.1523      1.1130    854.3712    111.9258    131.1526      1.4237      1.6345      0.8796 
