# Engine name: Sugar Rocket
# Tue Mar 14 00:53:27 2023
#
#************************************************************************************************************************************************************************************
# Results of nested analysis
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
# Ratio, O/F     pc, MPa  Nozzle inl  Nozzle exi  rho, kg/m^       Tc, K           M       gamma           k     c*, m/s   Is opt, s   Is vac, s      Cf opt      Cf vac    c.factor 
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     1.9140      6.9820      0.0000      4.0000      0.0000   1604.9195     40.6511      1.1317      1.1263    889.8112    117.5311    136.5129      1.4235      1.6295      0.9090 
     1.9140      6.9789      0.0000      4.0000      0.0000   1604.9138     40.6510      1.1317      1.1263    889.8068    117.5304    136.5122      1.4235      1.6295      0.9090 
     1.9140      6.9758      0.0000      4.0000      0.0000   1604.9082     40.6510      1.1317      1.1263    889.8024    117.5297    136.5116      1.4235      1.6295      0.9090 
     1.9140      6.9727      0.0000      4.0000      0.0000   1604.9025     40.6509      1.1317      1.1263    889.7980    117.5291    136.5109      1.4235      1.6295      0.9090 
     1.9140      6.9696      0.0000      4.0000      0.0000   1604.8969     40.6508      1.1317      1.1263    889.7937    117.5284    136.5102      1.4235      1.6295      0.9090 
     1.9140      6.9665      0.0000      4.0000      0.0000   1604.8912     40.6507      1.1317      1.1263    889.7893    117.5277    136.5096      1.4235      1.6295      0.9090 
     1.9140      6.9634      0.0000      4.0000      0.0000   1604.8855     40.6507      1.1317      1.1263    889.7849    117.5271    136.5089      1.4235      1.6295      0.9089 
     1.9140      6.9603      0.0000      4.0000      0.0000   1604.8799     40.6506      1.1317      1.1263    889.7805    117.5264    136.5083      1.4235      1.6295      0.9089 
     1.9140      6.9572      0.0000      4.0000      0.0000   1604.8742     40.6505      1.1317      1.1263    889.7761    117.5257    136.5076      1.4235      1.6295      0.9089 
     1.9140      6.9541      0.0000      4.0000      0.0000   1604.8685     40.6504      1.1317      1.1263    889.7717    117.5251    136.5070      1.4235      1.6295      0.9089 
     1.9140      6.9510      0.0000      4.0000      0.0000   1604.8628     40.6504      1.1317      1.1263    889.7673    117.5244    136.5063      1.4235      1.6295      0.9089 
     1.9140      6.9479      0.0000      4.0000      0.0000   1604.8571     40.6503      1.1317      1.1263    889.7629    117.5237    136.5057      1.4235      1.6295      0.9089 
     1.9140      6.9448      0.0000      4.0000      0.0000   1604.8514     40.6502      1.1317      1.1263    889.7585    117.5231    136.5050      1.4235      1.6295      0.9089 
     1.9140      6.9417      0.0000      4.0000      0.0000   1604.8457     40.6501      1.1317      1.1263    889.7541    117.5224    136.5043      1.4235      1.6295      0.9089 
     1.9140      6.9386      0.0000      4.0000      0.0000   1604.8400     40.6501      1.1317      1.1263    889.7497    117.5217    136.5037      1.4235      1.6295      0.9089 
