# Engine name: Sugar Rocket
# Tue Mar 14 00:39:02 2023
#
#************************************************************************************************************************************************************************************
# Results of nested analysis
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
# Ratio, O/F     pc, MPa  Nozzle inl  Nozzle exi  rho, kg/m^       Tc, K           M       gamma           k     c*, m/s   Is opt, s   Is vac, s      Cf opt      Cf vac    c.factor 
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     1.9140      1.3737      0.0000      4.0000      0.0000   1568.3934     40.1739      1.1387      1.1199    872.2480    114.8563    133.9226      1.4237      1.6312      0.8938 
     1.9140      1.2137      0.0000      4.0000      0.0000   1564.1417     40.1194      1.1396      1.1193    870.7454    114.6218    133.6992      1.4237      1.6315      0.8926 
     1.9140      1.0537      0.0000      4.0000      0.0000   1559.0328     40.0541      1.1408      1.1186    868.9902    114.3464    133.4375      1.4237      1.6317      0.8912 
     1.9140      0.8937      0.0000      4.0000      0.0000   1552.7480     39.9741      1.1423      1.1177    866.8967    114.0147    133.1230      1.4237      1.6321      0.8895 
     1.9140      0.7337      0.0000      4.0000      0.0000   1544.7694     39.8730      1.1442      1.1167    864.3196    113.6006    132.7315      1.4237      1.6326      0.8875 
     1.9140      0.5737      0.0000      4.0000      0.0000   1534.1779     39.7398      1.1467      1.1154    861.0001    113.0566    132.2181      1.4237      1.6332      0.8849 
     1.9140      0.4137      0.0000      4.0000      0.0000   1519.1107     39.5521      1.1505      1.1137    856.4104    112.2807    131.4871      1.4237      1.6341      0.8812 
     1.9140      0.2729      0.0000      4.0000      0.0000   1498.5655     39.2992      1.1559      1.1116    850.2945    111.1945    130.4621      1.4237      1.6353      0.8762 
#*********************************************************************************************************************************************************************
